trial,family,sharpe_annual
TSMOM(120),ts_momentum,0.3921722421551599
"MA(25,150)",ma_crossover,0.3513183668807643
"MA(10,180)",ma_crossover,0.34939237300073933
"MA(25,100)",ma_crossover,0.3326209101330008
"MA(15,200)",ma_crossover,0.3255535499124525
"MA(30,100)",ma_crossover,0.3172711943425749
"MA(25,120)",ma_crossover,0.3152235798897286
TSMOM(150),ts_momentum,0.31176897886824606
"MA(2,180)",ma_crossover,0.30961790845303916
"MA(30,120)",ma_crossover,0.3045920860097988
"MA(12,200)",ma_crossover,0.3043657934258971
"MA(20,150)",ma_crossover,0.30191150313060905
"MA(20,250)",ma_crossover,0.3005622443327272
"MA(25,180)",ma_crossover,0.29647419656120844
"MA(30,150)",ma_crossover,0.2958128909484953
"MA(15,80)",ma_crossover,0.29436093552429965
"MA(3,200)",ma_crossover,0.29351157460869265
"MA(2,200)",ma_crossover,0.28985667899233314
"MA(8,200)",ma_crossover,0.2898495753713694
"MA(10,200)",ma_crossover,0.2802493513539782
"MA(12,180)",ma_crossover,0.279024737342345
"MA(20,120)",ma_crossover,0.27421509875055644
"MA(40,100)",ma_crossover,0.27395907305831374
"MA(20,200)",ma_crossover,0.27193110674884363
"MA(15,250)",ma_crossover,0.2696710241906282
"MA(15,100)",ma_crossover,0.26854465234174546
"MA(2,120)",ma_crossover,0.2678630996206438
"MA(20,100)",ma_crossover,0.26636482031750636
"MA(8,180)",ma_crossover,0.2652052424677484
"MA(25,250)",ma_crossover,0.26501426362287706
"MA(40,180)",ma_crossover,0.26309061891968555
"MA(12,250)",ma_crossover,0.26233644332249717
"MA(12,150)",ma_crossover,0.26150134596784663
"MA(40,120)",ma_crossover,0.2608116076522237
"MA(20,180)",ma_crossover,0.259730291454962
"MA(8,250)",ma_crossover,0.25618536802637815
"MA(30,180)",ma_crossover,0.2506187510703747
"MA(10,80)",ma_crossover,0.24850010444257428
"MA(2,40)",ma_crossover,0.24795519625242457
"MA(15,180)",ma_crossover,0.2478609437390647
"MA(30,250)",ma_crossover,0.24492528317818757
"MA(15,120)",ma_crossover,0.24467307038099326
"MA(40,80)",ma_crossover,0.23982005227873127
"MA(50,80)",ma_crossover,0.23630736143584333
"MA(25,80)",ma_crossover,0.2353661386797068
"MA(5,200)",ma_crossover,0.23514053554317366
"MA(12,80)",ma_crossover,0.23497561987259002
"MA(12,120)",ma_crossover,0.23421589761534456
"MA(15,150)",ma_crossover,0.23139507597519524
"MA(5,180)",ma_crossover,0.23018202603413512
"MA(40,60)",ma_crossover,0.22920273992931606
"MA(50,120)",ma_crossover,0.22628960005624774
"MA(12,100)",ma_crossover,0.22324227822523574
"MA(10,250)",ma_crossover,0.2231239161299322
"MA(3,150)",ma_crossover,0.2214126204797848
"MA(25,200)",ma_crossover,0.22030603552018563
"MA(5,100)",ma_crossover,0.22002526763179034
"MA(3,50)",ma_crossover,0.21984155109560655
"MA(10,150)",ma_crossover,0.21870233513259055
"MA(3,30)",ma_crossover,0.21840881554050648
"MA(3,120)",ma_crossover,0.2174455159796496
"MA(50,100)",ma_crossover,0.21471164135008286
"MA(2,30)",ma_crossover,0.21415620009184852
"MA(3,40)",ma_crossover,0.21322746004721385
"MA(25,50)",ma_crossover,0.2121192620936239
"MA(3,180)",ma_crossover,0.20823950452510814
"MA(10,120)",ma_crossover,0.20778688278006277
"MA(40,150)",ma_crossover,0.20632290140347778
"MA(40,50)",ma_crossover,0.2058541121332515
"MA(5,150)",ma_crossover,0.20357101001173708
TSMOM(180),ts_momentum,0.20278418435304724
"MA(20,80)",ma_crossover,0.20274135687354994
"MA(10,100)",ma_crossover,0.1988593573467445
"MA(2,150)",ma_crossover,0.19665545333910261
"MA(2,250)",ma_crossover,0.19444630503696972
"MA(20,60)",ma_crossover,0.19398689367968042
"MA(8,80)",ma_crossover,0.19374749973546881
"MA(2,50)",ma_crossover,0.192887895211022
"MA(30,50)",ma_crossover,0.1885320460982076
"MA(5,120)",ma_crossover,0.1865630592074094
"MA(30,80)",ma_crossover,0.1828043994031161
"MA(30,200)",ma_crossover,0.18013010404970356
"MA(30,60)",ma_crossover,0.17844949099651983
"MA(8,120)",ma_crossover,0.1728218221002022
"MA(50,60)",ma_crossover,0.17006509086624233
"MA(40,200)",ma_crossover,0.16904321618054557
